Country Name,2015,2016,2017,2018,2019,2020,2021
Albania,107.2767868,107.4077301,110.0476685,105.7085571,101.7207184,99.46858978,98.22325897
Ecuador,106.151207,103.1579819,104.9530869,103.4876175,99.74536896,98.21585846,95.69024658
Germany,102.0928574,99.69753265,97.57306671,98.58837128,99.6325531,98.38349152,100.9737015
United Kingdom,99.48760986,98.13723755,97.09069824,97.18319702,98.81459045,97.69728851,98.93805695
