Country Name,2015,2016,2017,2018,2019,2020,2021,2022
Egypt,37898.771,37337.654,38369.688,38630,39220,39465,39710,40310
France,287269,287180.21,286974.99,286601,286211.86,285874.7,285537.54,285537.54
Germany,167310,166590,166870,166450,166660,166305,165950,165910
Ghana,124155.145,123579.422,120839.639,122175.416,124799.743,125418.5715,126037.4,126037.4
Myanmar,127489.999,127600,130536,130713,129794,129797,129800,129800
United Kingdom,171380,173499.818,174661.525,173508.616,175212.961,173902.971,172592.981,172151.41
Vietnam,121478,121722,121688,121405,123880,123740,123600,123600
